Date : 4/12/2019 12:12:19 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "test message"
Date : 4/12/2019 12:12:29 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : "test message"
Date : 4/18/2019 12:17:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".hi"
Date : 4/18/2019 12:18:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 12:18:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 12:18:07 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:39:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:39:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:39:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:39:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "Very basic types have been recorded for the game"
Date : 4/18/2019 1:39:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:43:08 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:43:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:48:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:48:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:48:59 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:57:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:57:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:57:53 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 2:03:20 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:03:23 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:04:37 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:04:39 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:06:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:08:44 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:08:46 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:22:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "?hi"
Date : 4/21/2019 2:13:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/21/2019 2:13:13 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/21/2019 2:13:18 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/21/2019 2:44:05 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 2:44:14 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 2:52:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 2:52:58 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 2:54:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 2:55:02 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:09:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!players"
Date : 4/21/2019 3:09:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!players"
Date : 4/21/2019 3:10:00 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:10:10 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:11:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:12:02 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:14:13 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:14:23 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:16:07 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:16:16 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:18:21 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/21/2019 3:18:24 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:18:36 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:21:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:21:23 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:21:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!here"
Date : 4/21/2019 3:22:06 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "I just did :/"
Date : 4/21/2019 3:22:21 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/21/2019 3:28:22 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:28:32 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:32:18 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:32:28 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:32:55 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!locations"
Date : 4/21/2019 3:33:11 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!players"
Date : 4/21/2019 3:33:15 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!players"
Date : 4/21/2019 3:40:44 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!locations"
Date : 4/21/2019 3:40:57 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/21/2019 3:42:31 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!locations"
Date : 4/21/2019 3:42:39 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!locations"
Date : 4/21/2019 3:42:43 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!new"
Date : 4/21/2019 3:42:54 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!new"
Date : 4/21/2019 3:43:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!go Tavern"
Date : 4/21/2019 3:43:56 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!here"
Date : 4/21/2019 3:43:56 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!go Tavern"
Date : 4/21/2019 3:44:06 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpg!here"
Date : 4/21/2019 3:44:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpg!here"
Date : 4/21/2019 3:44:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
